group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,async_std::channel::bounded,100,,,975246.0,ns,3
async/mpsc_integer,async_std::channel::bounded,100,,,2788477.0,ns,6
async/mpsc_integer,async_std::channel::bounded,100,,,3180129.0,ns,9
async/mpsc_integer,async_std::channel::bounded,100,,,12525455.0,ns,12
async/mpsc_integer,async_std::channel::bounded,100,,,5383328.0,ns,15
async/mpsc_integer,async_std::channel::bounded,100,,,14331282.0,ns,18
async/mpsc_integer,async_std::channel::bounded,100,,,13398196.0,ns,21
async/mpsc_integer,async_std::channel::bounded,100,,,8601298.0,ns,24
async/mpsc_integer,async_std::channel::bounded,100,,,9616208.0,ns,27
async/mpsc_integer,async_std::channel::bounded,100,,,18586465.0,ns,30
async/mpsc_integer,async_std::channel::bounded,100,,,13428434.0,ns,33
async/mpsc_integer,async_std::channel::bounded,100,,,13797031.0,ns,36
async/mpsc_integer,async_std::channel::bounded,100,,,14677608.0,ns,39
async/mpsc_integer,async_std::channel::bounded,100,,,20845530.0,ns,42
async/mpsc_integer,async_std::channel::bounded,100,,,16776200.0,ns,45
async/mpsc_integer,async_std::channel::bounded,100,,,24710235.0,ns,48
async/mpsc_integer,async_std::channel::bounded,100,,,19306948.0,ns,51
async/mpsc_integer,async_std::channel::bounded,100,,,19096430.0,ns,54
async/mpsc_integer,async_std::channel::bounded,100,,,22895139.0,ns,57
async/mpsc_integer,async_std::channel::bounded,100,,,23175219.0,ns,60
async/mpsc_integer,async_std::channel::bounded,100,,,24760209.0,ns,63
async/mpsc_integer,async_std::channel::bounded,100,,,23915310.0,ns,66
async/mpsc_integer,async_std::channel::bounded,100,,,27203133.0,ns,69
async/mpsc_integer,async_std::channel::bounded,100,,,25633210.0,ns,72
async/mpsc_integer,async_std::channel::bounded,100,,,27085971.0,ns,75
async/mpsc_integer,async_std::channel::bounded,100,,,27866658.0,ns,78
async/mpsc_integer,async_std::channel::bounded,100,,,28714382.0,ns,81
async/mpsc_integer,async_std::channel::bounded,100,,,32274159.0,ns,84
async/mpsc_integer,async_std::channel::bounded,100,,,34203039.0,ns,87
async/mpsc_integer,async_std::channel::bounded,100,,,39754986.0,ns,90
async/mpsc_integer,async_std::channel::bounded,100,,,39305255.0,ns,93
