group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,futures::channel::mpsc,50,,,1400310.0,ns,2
async/mpsc_integer,futures::channel::mpsc,50,,,2807844.0,ns,4
async/mpsc_integer,futures::channel::mpsc,50,,,3708327.0,ns,6
async/mpsc_integer,futures::channel::mpsc,50,,,4752994.0,ns,8
async/mpsc_integer,futures::channel::mpsc,50,,,5624664.0,ns,10
async/mpsc_integer,futures::channel::mpsc,50,,,8129544.0,ns,12
async/mpsc_integer,futures::channel::mpsc,50,,,8264370.0,ns,14
async/mpsc_integer,futures::channel::mpsc,50,,,11535700.0,ns,16
async/mpsc_integer,futures::channel::mpsc,50,,,13531196.0,ns,18
async/mpsc_integer,futures::channel::mpsc,50,,,14326271.0,ns,20
async/mpsc_integer,futures::channel::mpsc,50,,,14519827.0,ns,22
async/mpsc_integer,futures::channel::mpsc,50,,,16802747.0,ns,24
async/mpsc_integer,futures::channel::mpsc,50,,,18956272.0,ns,26
async/mpsc_integer,futures::channel::mpsc,50,,,24708567.0,ns,28
async/mpsc_integer,futures::channel::mpsc,50,,,23457751.0,ns,30
async/mpsc_integer,futures::channel::mpsc,50,,,20934767.0,ns,32
async/mpsc_integer,futures::channel::mpsc,50,,,20840038.0,ns,34
async/mpsc_integer,futures::channel::mpsc,50,,,26651394.0,ns,36
async/mpsc_integer,futures::channel::mpsc,50,,,27079925.0,ns,38
async/mpsc_integer,futures::channel::mpsc,50,,,26848347.0,ns,40
async/mpsc_integer,futures::channel::mpsc,50,,,27988625.0,ns,42
async/mpsc_integer,futures::channel::mpsc,50,,,38720383.0,ns,44
async/mpsc_integer,futures::channel::mpsc,50,,,32671336.0,ns,46
async/mpsc_integer,futures::channel::mpsc,50,,,31929112.0,ns,48
async/mpsc_integer,futures::channel::mpsc,50,,,34075153.0,ns,50
async/mpsc_integer,futures::channel::mpsc,50,,,33937081.0,ns,52
async/mpsc_integer,futures::channel::mpsc,50,,,50063028.0,ns,54
async/mpsc_integer,futures::channel::mpsc,50,,,33666139.0,ns,56
async/mpsc_integer,futures::channel::mpsc,50,,,39037954.0,ns,58
async/mpsc_integer,futures::channel::mpsc,50,,,42830571.0,ns,60
async/mpsc_integer,futures::channel::mpsc,50,,,45892526.0,ns,62
async/mpsc_integer,futures::channel::mpsc,50,,,40781925.0,ns,64
async/mpsc_integer,futures::channel::mpsc,50,,,53264537.0,ns,66
async/mpsc_integer,futures::channel::mpsc,50,,,54879413.0,ns,68
async/mpsc_integer,futures::channel::mpsc,50,,,58324292.0,ns,70
async/mpsc_integer,futures::channel::mpsc,50,,,57732462.0,ns,72
async/mpsc_integer,futures::channel::mpsc,50,,,54911673.0,ns,74
async/mpsc_integer,futures::channel::mpsc,50,,,53160640.0,ns,76
async/mpsc_integer,futures::channel::mpsc,50,,,56470734.0,ns,78
async/mpsc_integer,futures::channel::mpsc,50,,,62691015.0,ns,80
async/mpsc_integer,futures::channel::mpsc,50,,,75834257.0,ns,82
async/mpsc_integer,futures::channel::mpsc,50,,,64831346.0,ns,84
async/mpsc_integer,futures::channel::mpsc,50,,,56827419.0,ns,86
async/mpsc_integer,futures::channel::mpsc,50,,,62451672.0,ns,88
async/mpsc_integer,futures::channel::mpsc,50,,,72533762.0,ns,90
async/mpsc_integer,futures::channel::mpsc,50,,,66767810.0,ns,92
async/mpsc_integer,futures::channel::mpsc,50,,,59043853.0,ns,94
async/mpsc_integer,futures::channel::mpsc,50,,,77592625.0,ns,96
async/mpsc_integer,futures::channel::mpsc,50,,,59908891.0,ns,98
async/mpsc_integer,futures::channel::mpsc,50,,,75864274.0,ns,100
async/mpsc_integer,futures::channel::mpsc,50,,,74659414.0,ns,102
async/mpsc_integer,futures::channel::mpsc,50,,,83563814.0,ns,104
async/mpsc_integer,futures::channel::mpsc,50,,,75504353.0,ns,106
async/mpsc_integer,futures::channel::mpsc,50,,,73580161.0,ns,108
async/mpsc_integer,futures::channel::mpsc,50,,,72094019.0,ns,110
async/mpsc_integer,futures::channel::mpsc,50,,,74409681.0,ns,112
async/mpsc_integer,futures::channel::mpsc,50,,,78166040.0,ns,114
async/mpsc_integer,futures::channel::mpsc,50,,,107743401.0,ns,116
async/mpsc_integer,futures::channel::mpsc,50,,,110762164.0,ns,118
async/mpsc_integer,futures::channel::mpsc,50,,,71312260.0,ns,120
async/mpsc_integer,futures::channel::mpsc,50,,,73139678.0,ns,122
async/mpsc_integer,futures::channel::mpsc,50,,,99608648.0,ns,124
async/mpsc_integer,futures::channel::mpsc,50,,,88400437.0,ns,126
async/mpsc_integer,futures::channel::mpsc,50,,,87794100.0,ns,128
async/mpsc_integer,futures::channel::mpsc,50,,,85772144.0,ns,130
async/mpsc_integer,futures::channel::mpsc,50,,,105191682.0,ns,132
async/mpsc_integer,futures::channel::mpsc,50,,,113599203.0,ns,134
async/mpsc_integer,futures::channel::mpsc,50,,,90776123.0,ns,136
async/mpsc_integer,futures::channel::mpsc,50,,,97470963.0,ns,138
async/mpsc_integer,futures::channel::mpsc,50,,,117090710.0,ns,140
async/mpsc_integer,futures::channel::mpsc,50,,,112843012.0,ns,142
async/mpsc_integer,futures::channel::mpsc,50,,,123348012.0,ns,144
async/mpsc_integer,futures::channel::mpsc,50,,,96956830.0,ns,146
async/mpsc_integer,futures::channel::mpsc,50,,,102543432.0,ns,148
async/mpsc_integer,futures::channel::mpsc,50,,,85109200.0,ns,150
async/mpsc_integer,futures::channel::mpsc,50,,,119630897.0,ns,152
async/mpsc_integer,futures::channel::mpsc,50,,,110750973.0,ns,154
async/mpsc_integer,futures::channel::mpsc,50,,,117673984.0,ns,156
async/mpsc_integer,futures::channel::mpsc,50,,,96191541.0,ns,158
async/mpsc_integer,futures::channel::mpsc,50,,,126484517.0,ns,160
async/mpsc_integer,futures::channel::mpsc,50,,,102804736.0,ns,162
async/mpsc_integer,futures::channel::mpsc,50,,,146987426.0,ns,164
async/mpsc_integer,futures::channel::mpsc,50,,,110229907.0,ns,166
async/mpsc_integer,futures::channel::mpsc,50,,,148007497.0,ns,168
async/mpsc_integer,futures::channel::mpsc,50,,,105709673.0,ns,170
async/mpsc_integer,futures::channel::mpsc,50,,,140129860.0,ns,172
async/mpsc_integer,futures::channel::mpsc,50,,,124052996.0,ns,174
async/mpsc_integer,futures::channel::mpsc,50,,,117891927.0,ns,176
async/mpsc_integer,futures::channel::mpsc,50,,,114242952.0,ns,178
async/mpsc_integer,futures::channel::mpsc,50,,,137863301.0,ns,180
async/mpsc_integer,futures::channel::mpsc,50,,,116246894.0,ns,182
async/mpsc_integer,futures::channel::mpsc,50,,,136011637.0,ns,184
async/mpsc_integer,futures::channel::mpsc,50,,,88143522.0,ns,186
async/mpsc_integer,futures::channel::mpsc,50,,,130863925.0,ns,188
async/mpsc_integer,futures::channel::mpsc,50,,,122781410.0,ns,190
async/mpsc_integer,futures::channel::mpsc,50,,,127477447.0,ns,192
async/mpsc_integer,futures::channel::mpsc,50,,,47649541.0,ns,194
async/mpsc_integer,futures::channel::mpsc,50,,,63192825.0,ns,196
async/mpsc_integer,futures::channel::mpsc,50,,,135506761.0,ns,198
async/mpsc_integer,futures::channel::mpsc,50,,,152888424.0,ns,200
