group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,async_std::channel::bounded,50,,,102710852.0,ns,352
async/mpsc_integer,async_std::channel::bounded,50,,,101704589.0,ns,356
async/mpsc_integer,async_std::channel::bounded,50,,,96748529.0,ns,360
async/mpsc_integer,async_std::channel::bounded,50,,,105935095.0,ns,364
async/mpsc_integer,async_std::channel::bounded,50,,,98746040.0,ns,368
async/mpsc_integer,async_std::channel::bounded,50,,,104109309.0,ns,372
async/mpsc_integer,async_std::channel::bounded,50,,,106991544.0,ns,376
async/mpsc_integer,async_std::channel::bounded,50,,,109027818.0,ns,380
async/mpsc_integer,async_std::channel::bounded,50,,,110294515.0,ns,384
async/mpsc_integer,async_std::channel::bounded,50,,,111567874.0,ns,388
async/mpsc_integer,async_std::channel::bounded,50,,,106763092.0,ns,392
async/mpsc_integer,async_std::channel::bounded,50,,,110996513.0,ns,396
async/mpsc_integer,async_std::channel::bounded,50,,,113769530.0,ns,400
