group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,futures::channel::mpsc,10,,,100864866.0,ns,176
async/mpsc_integer,futures::channel::mpsc,10,,,116195887.0,ns,178
async/mpsc_integer,futures::channel::mpsc,10,,,110596060.0,ns,180
async/mpsc_integer,futures::channel::mpsc,10,,,76718424.0,ns,182
async/mpsc_integer,futures::channel::mpsc,10,,,111606102.0,ns,184
async/mpsc_integer,futures::channel::mpsc,10,,,115826177.0,ns,186
async/mpsc_integer,futures::channel::mpsc,10,,,131312683.0,ns,188
async/mpsc_integer,futures::channel::mpsc,10,,,138494423.0,ns,190
async/mpsc_integer,futures::channel::mpsc,10,,,135132020.0,ns,192
async/mpsc_integer,futures::channel::mpsc,10,,,106758298.0,ns,194
async/mpsc_integer,futures::channel::mpsc,10,,,142073856.0,ns,196
async/mpsc_integer,futures::channel::mpsc,10,,,111450809.0,ns,198
async/mpsc_integer,futures::channel::mpsc,10,,,88613533.0,ns,200
