group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,tokio::sync::mpsc,10,,,995544.0,ns,2
async/mpsc_integer,tokio::sync::mpsc,10,,,1699516.0,ns,4
async/mpsc_integer,tokio::sync::mpsc,10,,,3080339.0,ns,6
async/mpsc_integer,tokio::sync::mpsc,10,,,3414802.0,ns,8
async/mpsc_integer,tokio::sync::mpsc,10,,,4474076.0,ns,10
async/mpsc_integer,tokio::sync::mpsc,10,,,6851344.0,ns,12
async/mpsc_integer,tokio::sync::mpsc,10,,,7887236.0,ns,14
async/mpsc_integer,tokio::sync::mpsc,10,,,6886932.0,ns,16
async/mpsc_integer,tokio::sync::mpsc,10,,,9368127.0,ns,18
async/mpsc_integer,tokio::sync::mpsc,10,,,11044790.0,ns,20
async/mpsc_integer,tokio::sync::mpsc,10,,,11680443.0,ns,22
async/mpsc_integer,tokio::sync::mpsc,10,,,10851514.0,ns,24
async/mpsc_integer,tokio::sync::mpsc,10,,,12848574.0,ns,26
async/mpsc_integer,tokio::sync::mpsc,10,,,13185741.0,ns,28
async/mpsc_integer,tokio::sync::mpsc,10,,,17838406.0,ns,30
async/mpsc_integer,tokio::sync::mpsc,10,,,17249651.0,ns,32
async/mpsc_integer,tokio::sync::mpsc,10,,,15181438.0,ns,34
async/mpsc_integer,tokio::sync::mpsc,10,,,16376479.0,ns,36
async/mpsc_integer,tokio::sync::mpsc,10,,,14074543.0,ns,38
async/mpsc_integer,tokio::sync::mpsc,10,,,15264496.0,ns,40
async/mpsc_integer,tokio::sync::mpsc,10,,,25579805.0,ns,42
async/mpsc_integer,tokio::sync::mpsc,10,,,23090003.0,ns,44
async/mpsc_integer,tokio::sync::mpsc,10,,,19197748.0,ns,46
async/mpsc_integer,tokio::sync::mpsc,10,,,25476860.0,ns,48
async/mpsc_integer,tokio::sync::mpsc,10,,,23344545.0,ns,50
async/mpsc_integer,tokio::sync::mpsc,10,,,27255826.0,ns,52
async/mpsc_integer,tokio::sync::mpsc,10,,,23502624.0,ns,54
async/mpsc_integer,tokio::sync::mpsc,10,,,26889894.0,ns,56
async/mpsc_integer,tokio::sync::mpsc,10,,,25596737.0,ns,58
async/mpsc_integer,tokio::sync::mpsc,10,,,34180801.0,ns,60
async/mpsc_integer,tokio::sync::mpsc,10,,,33862077.0,ns,62
async/mpsc_integer,tokio::sync::mpsc,10,,,31588235.0,ns,64
async/mpsc_integer,tokio::sync::mpsc,10,,,29771347.0,ns,66
async/mpsc_integer,tokio::sync::mpsc,10,,,29196729.0,ns,68
async/mpsc_integer,tokio::sync::mpsc,10,,,30667252.0,ns,70
